table_schema,table_name,ordinal_position,column_name,data_type,udt_schema,udt_name,character_maximum_length,numeric_precision,numeric_scale,is_nullable,column_default,is_identity,identity_generation
public,coupang_registration_jobs,13,last_error,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,coupang_registration_jobs,14,attempt_count,integer,pg_catalog,int4,null,32,0,NO,0,NO,null
public,coupang_registration_jobs,15,next_retry_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,YES,null,NO,null
public,coupang_registration_jobs,16,submitted_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,YES,null,NO,null
public,coupang_registration_jobs,17,registered_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,YES,null,NO,null
public,coupang_registration_jobs,18,created_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,NO,now(),NO,null
public,coupang_registration_jobs,19,updated_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,NO,now(),NO,null
public,coupang_seller_product_snapshots,1,id,bigint,pg_catalog,int8,null,64,0,NO,null,YES,BY DEFAULT
public,coupang_seller_product_snapshots,2,seller_product_id,text,pg_catalog,text,null,null,null,NO,null,NO,null
public,coupang_seller_product_snapshots,3,seller_product_name,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,coupang_seller_product_snapshots,4,status_name,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,coupang_seller_product_snapshots,5,brand,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,coupang_seller_product_snapshots,6,registration_type,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,coupang_seller_product_snapshots,7,raw_payload,jsonb,pg_catalog,jsonb,null,null,null,NO,'{}'::jsonb,NO,null
public,coupang_seller_product_snapshots,8,observed_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,NO,now(),NO,null
public,domestic_supplier_products,1,id,bigint,pg_catalog,int8,null,64,0,NO,null,YES,BY DEFAULT
public,domestic_supplier_products,2,supplier_id,bigint,pg_catalog,int8,null,64,0,NO,null,NO,null
