schema_name,table_name,index_name,definition
public,revenue_decisions,revenue_decisions_opportunity_idx,"CREATE INDEX revenue_decisions_opportunity_idx ON public.revenue_decisions USING btree (opportunity_id, created_at DESC)"
public,revenue_decisions,revenue_decisions_pkey,CREATE UNIQUE INDEX revenue_decisions_pkey ON public.revenue_decisions USING btree (id)
public,revenue_opportunities,revenue_opportunities_opportunity_code_key,CREATE UNIQUE INDEX revenue_opportunities_opportunity_code_key ON public.revenue_opportunities USING btree (opportunity_code)
public,revenue_opportunities,revenue_opportunities_pkey,CREATE UNIQUE INDEX revenue_opportunities_pkey ON public.revenue_opportunities USING btree (id)
public,revenue_opportunities,revenue_opportunities_score_idx,"CREATE INDEX revenue_opportunities_score_idx ON public.revenue_opportunities USING btree (revenue_score DESC, created_at DESC)"
public,revenue_opportunities,revenue_opportunities_status_idx,"CREATE INDEX revenue_opportunities_status_idx ON public.revenue_opportunities USING btree (status, updated_at DESC)"
public,revenue_snapshots,revenue_snapshots_date_idx,CREATE INDEX revenue_snapshots_date_idx ON public.revenue_snapshots USING btree (snapshot_date DESC)
public,revenue_snapshots,revenue_snapshots_pkey,CREATE UNIQUE INDEX revenue_snapshots_pkey ON public.revenue_snapshots USING btree (id)
public,revenue_snapshots,revenue_snapshots_snapshot_date_key,CREATE UNIQUE INDEX revenue_snapshots_snapshot_date_key ON public.revenue_snapshots USING btree (snapshot_date)
public,runtime_jobs,runtime_jobs_job_code_key,CREATE UNIQUE INDEX runtime_jobs_job_code_key ON public.runtime_jobs USING btree (job_code)
public,runtime_jobs,runtime_jobs_pkey,CREATE UNIQUE INDEX runtime_jobs_pkey ON public.runtime_jobs USING btree (id)
public,runtime_jobs,runtime_jobs_queue_idx,"CREATE INDEX runtime_jobs_queue_idx ON public.runtime_jobs USING btree (status, priority DESC, scheduled_at)"
public,sourcing_decisions,idx_sourcing_decisions_quote,"CREATE INDEX idx_sourcing_decisions_quote ON public.sourcing_decisions USING btree (supplier_quote_id, calculated_at DESC)"
public,sourcing_decisions,sourcing_decisions_pkey,CREATE UNIQUE INDEX sourcing_decisions_pkey ON public.sourcing_decisions USING btree (id)
public,supplier_quotes,idx_supplier_quotes_bundle,CREATE INDEX idx_supplier_quotes_bundle ON public.supplier_quotes USING btree (bundle_recommendation_id)
